"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.031279020E-1,-5.427000046E0,6.891000271E0,-2.848950148E0
4.056616830E-1,-5.365050316E0,6.915000439E0,-2.824950218E0
4.081953000E-1,-5.314050198E0,6.955950260E0,-2.784000158E0
4.107290680E-1,-5.250000477E0,6.997050285E0,-2.755050182E0
4.132626850E-1,-5.179950237E0,6.975000381E0,-2.650050163E0
4.157962370E-1,-5.092050076E0,7.018050194E0,-2.608950138E0
4.183300050E-1,-5.044050217E0,7.036950111E0,-2.538000107E0
4.208636220E-1,-4.977000237E0,7.012950420E0,-2.383949995E0
4.233973890E-1,-4.972050190E0,6.999000549E0,-2.410950184E0
4.259309930E-1,-4.969950199E0,6.951000214E0,-2.629050016E0
4.284647600E-1,-4.957950115E0,6.835950375E0,-2.655000210E0
4.309983510E-1,-4.960050106E0,6.738000393E0,-2.572950125E0
4.335319960E-1,-5.073000431E0,6.738000393E0,-2.743050098E0
4.361413460E-1,-5.218950272E0,6.750000477E0,-2.727000237E0
4.385992710E-1,-5.251950264E0,6.751950264E0,-2.557050228E0
4.411330390E-1,-5.319000244E0,6.775950432E0,-2.509050131E0
4.436666540E-1,-5.398050308E0,6.819000244E0,-2.596950054E0
4.462004280E-1,-5.512950420E0,6.823950291E0,-2.605050087E0
4.487340440E-1,-5.712000370E0,6.793050289E0,-2.770050049E0
4.512678130E-1,-5.944050312E0,6.745050430E0,-2.833950043E0
4.538014280E-1,-6.136050224E0,6.709050179E0,-2.896950245E0
4.563349690E-1,-6.178950310E0,6.688050270E0,-2.880000114E0
4.588688130E-1,-6.114000320E0,6.676050186E0,-2.880000114E0
4.614023530E-1,-5.974950314E0,6.751950264E0,-2.863050222E0
4.639361210E-1,-5.935050488E0,6.799950123E0,-2.928000212E0
4.664697380E-1,-6.016050339E0,6.819000244E0,-2.944950104E0
4.690035050E-1,-5.998950481E0,6.870000362E0,-2.869950056E0
4.715371230E-1,-5.884050369E0,6.903000355E0,-2.800950050E0
4.740708900E-1,-5.692950249E0,6.871950150E0,-2.707950115E0
4.766044870E-1,-5.554050446E0,6.774000168E0,-2.643000126E0
4.791380260E-1,-5.494050026E0,6.826950550E0,-2.698050022E0
4.816718700E-1,-5.508000374E0,6.865050316E0,-2.617050171E0
4.842054100E-1,-5.518050194E0,6.841050148E0,-2.617050171E0
4.867391580E-1,-5.512950420E0,6.793050289E0,-2.731950045E0
4.892727750E-1,-5.511000156E0,6.759000301E0,-2.854050159E0
4.918065420E-1,-5.599050045E0,6.690000534E0,-2.851050138E0
4.943401600E-1,-5.652000427E0,6.544050217E0,-2.811000109E0
4.968739230E-1,-5.580000401E0,6.364050388E0,-2.851050138E0
4.994074630E-1,-5.458050251E0,6.166050434E0,-3.000000238E0
5.019410770E-1,-5.238000393E0,5.799000263E0,-3.201000214E0
5.044748460E-1,-4.797000408E0,5.281950474E0,-3.618000269E0
5.070084770E-1,-4.414050102E0,4.750050068E0,-4.044000149E0
5.095422450E-1,-4.525950432E0,4.635000229E0,-4.019999981E0
