"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
5.602157300E-1,8.251374960E-1,3.517250121E-1,-3.856875002E-1
5.627493480E-1,7.910374999E-1,3.506250083E-1,-3.877499998E-1
5.652831150E-1,7.623000145E-1,3.400374949E-1,-3.877499998E-1
5.678166990E-1,7.367249727E-1,3.229874969E-1,-3.814249933E-1
5.703502380E-1,7.250375152E-1,2.974124849E-1,-3.729000092E-1
5.728840050E-1,7.218750119E-1,2.740375102E-1,-3.643749952E-1
5.754176220E-1,7.187125087E-1,2.538250089E-1,-3.495250046E-1
5.779513750E-1,7.250375152E-1,2.336124927E-1,-3.324750066E-1
5.804849920E-1,7.282000184E-1,2.154625058E-1,-3.174875081E-1
5.830187590E-1,7.357624769E-1,2.069374919E-1,-3.057999909E-1
5.855523000E-1,7.346624732E-1,1.941500008E-1,-2.877874970E-1
5.880861200E-1,7.378249764E-1,1.835625023E-1,-2.644124925E-1
5.906197370E-1,7.441499829E-1,1.739374995E-1,-2.419999987E-1
5.931532760E-1,7.495124936E-1,1.665125042E-1,-2.217874974E-1
5.956870430E-1,7.537750006E-1,1.707749963E-1,-1.984124929E-1
5.982206890E-1,7.591375113E-1,1.909874976E-1,-1.782000065E-1
6.007544570E-1,7.612000108E-1,2.197249979E-1,-1.611499935E-1
6.032880740E-1,7.676625252E-1,2.547875047E-1,-1.430000067E-1
6.058218410E-1,7.708249688E-1,2.942500114E-1,-1.270499974E-1
6.083554350E-1,7.782499790E-1,3.282124996E-1,-1.131625026E-1
6.108892020E-1,7.782499790E-1,3.559874892E-1,-9.941250086E-2
6.134227420E-1,7.867749929E-1,3.782624900E-1,-7.177499682E-2
6.159565860E-1,7.836124897E-1,4.092000127E-1,-3.135000169E-2
6.184901410E-1,7.750874758E-1,4.505875111E-1,7.012499962E-3
6.210237560E-1,7.645000219E-1,4.954124987E-1,4.001250118E-2
6.235575240E-1,7.378249764E-1,5.506874919E-1,7.617499679E-2
6.260911410E-1,7.016624808E-1,6.241124868E-1,1.017500013E-1
6.286248990E-1,6.675624847E-1,7.017999887E-1,1.156374961E-1
6.311585170E-1,6.293374896E-1,7.774249911E-1,1.368124932E-1
6.336920550E-1,5.887749791E-1,8.347625136E-1,1.560624987E-1
6.362258220E-1,5.526124835E-1,8.837124705E-1,1.698125005E-1
6.387596930E-1,5.110874772E-1,9.200124741E-1,1.847999990E-1
6.412933110E-1,4.728625119E-1,9.476500154E-1,2.017125040E-1
6.438268490E-1,4.387624860E-1,9.732249975E-1,2.230249941E-1
6.463606160E-1,4.005374908E-1,9.944000244E-1,2.422749996E-1
6.488942290E-1,3.653374910E-1,1.015712500E0,2.613874972E-1
6.514279960E-1,3.312374949E-1,1.049812436E0,2.762374878E-1
6.539616140E-1,3.004375100E-1,1.092299938E0,2.869625092E-1
6.564953810E-1,2.716999948E-1,1.121037483E0,2.986499965E-1
6.590289450E-1,2.472250015E-1,1.125300050E0,3.134999871E-1
6.615625590E-1,2.323749959E-1,1.122137547E0,3.305499852E-1
6.640963280E-1,2.259124964E-1,1.118975043E0,3.454000056E-1
6.666299450E-1,2.206874937E-1,1.090237498E0,3.550249934E-1
6.691636970E-1,2.142249942E-1,1.062600017E0,3.678124845E-1
6.716973150E-1,2.099625021E-1,1.051874995E0,3.806000054E-1
6.742310820E-1,2.003374994E-1,1.042387486E0,3.891249895E-1
6.767646990E-1,1.897500008E-1,1.026437521E0,3.976500034E-1
6.792985010E-1,1.706375033E-1,1.011450052E0,4.039750099E-1
6.818321180E-1,1.504250020E-1,1.002925038E0,4.113999903E-1
6.843656570E-1,1.333750039E-1,1.011450052E0,4.210250080E-1
6.868994240E-1,1.163249984E-1,1.007187486E0,4.369750023E-1
6.894330410E-1,9.184999764E-2,9.986624718E-1,4.508624971E-1
6.919668080E-1,6.627500057E-2,9.965999722E-1,4.657124877E-1
6.945004260E-1,3.753750026E-2,9.944000244E-1,4.933499992E-1
6.970341930E-1,2.474999987E-3,9.901375175E-1,5.209875107E-1
6.995678430E-1,-3.478749841E-2,9.795500040E-1,5.550875068E-1
7.021016110E-1,-7.315000147E-2,9.710249901E-1,5.912500024E-1
7.046352280E-1,-1.124750003E-1,9.593374729E-1,6.307125092E-1
7.071689950E-1,-1.454750001E-1,9.530124664E-1,6.646749973E-1
7.097026230E-1,-1.667875051E-1,9.604374766E-1,7.019374967E-1
7.122361610E-1,-1.838375032E-1,9.646999836E-1,7.360374928E-1
7.147700050E-1,-1.912624985E-1,9.615374804E-1,7.594124675E-1
7.173035460E-1,-1.912624985E-1,9.539750218E-1,7.764624953E-1
7.198372890E-1,-1.816374958E-1,9.646999836E-1,7.903500199E-1
7.223709060E-1,-1.667875051E-1,9.965999722E-1,7.977749705E-1
7.249046740E-1,-1.432749927E-1,1.046650052E0,8.029999733E-1
7.274382910E-1,-1.187999994E-1,1.097662449E0,8.009374738E-1
7.299720960E-1,-9.432499856E-2,1.140287519E0,7.998374701E-1
