"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.998291740E-1,1.952499896E-2,1.333750039E-2,-1.209999993E-2
3.023629570E-1,1.842499897E-2,1.113750041E-2,-1.319999993E-2
3.048965740E-1,2.062499896E-2,6.874999963E-3,-1.209999993E-2
3.074303410E-1,1.732499897E-2,-1.649999991E-3,-1.539999992E-2
3.099638820E-1,2.062499896E-2,-2.749999985E-3,-1.746249944E-2
3.124975090E-1,2.158750035E-2,-4.812499974E-3,-1.746249944E-2
3.150313550E-1,2.268750034E-2,-7.012499962E-3,-1.856249943E-2
3.175651250E-1,2.584999986E-2,-7.974999957E-3,-2.062499896E-2
3.200986650E-1,2.488750033E-2,-1.333750039E-2,-2.488750033E-2
3.226322660E-1,2.268750034E-2,-2.186249942E-2,-2.598750032E-2
3.251660340E-1,2.584999986E-2,-3.038750030E-2,-2.914999984E-2
3.276996510E-1,2.804999985E-2,-3.355000168E-2,-3.135000169E-2
3.302334180E-1,3.231250122E-2,-3.671250120E-2,-2.708750032E-2
3.327670690E-1,3.547500074E-2,-4.413750023E-2,-2.598750032E-2
3.353008360E-1,4.179999977E-2,-5.266249925E-2,-2.488750033E-2
3.378344530E-1,4.606249928E-2,-6.022499874E-2,-2.378750034E-2
3.403682210E-1,5.032499880E-2,-6.338749826E-2,-2.172499895E-2
3.429018570E-1,5.252499878E-2,-5.692499876E-2,-1.636249945E-2
3.454356240E-1,5.362499878E-2,-5.486249924E-2,-1.429999992E-2
3.479692420E-1,5.568749830E-2,-5.486249924E-2,-1.003750041E-2
3.505030090E-1,6.104999781E-2,-4.949999973E-2,-8.937500417E-3
3.530365580E-1,6.847500056E-2,-4.207500070E-2,-1.003750041E-2
3.555701720E-1,7.383749634E-2,-3.891250119E-2,-1.209999993E-2
3.581039410E-1,7.479999959E-2,-3.464999795E-2,-1.003750041E-2
3.606377870E-1,7.699999958E-2,-2.722499892E-2,-7.837500423E-3
3.631713330E-1,8.552499861E-2,-2.722499892E-2,-4.674999975E-3
3.657049480E-1,9.075000137E-2,-3.148749843E-2,-1.512499992E-3
3.682387150E-1,9.831249714E-2,-3.244999796E-2,6.874999963E-4
3.707723330E-1,1.025749967E-1,-3.148749843E-2,3.849999979E-3
3.733061050E-1,1.120624989E-1,-3.244999796E-2,7.012499962E-3
3.758397220E-1,1.194875017E-1,-3.464999795E-2,7.012499962E-3
3.783734890E-1,1.291124970E-1,-3.781250119E-2,3.849999979E-3
3.809071070E-1,1.387374997E-1,-3.891250119E-2,-4.674999975E-3
3.834409080E-1,1.482249945E-1,-4.523750022E-2,-1.209999993E-2
3.859744490E-1,1.600500047E-1,-5.376249924E-2,-2.062499896E-2
3.885080620E-1,1.727000028E-1,-6.022499874E-2,-3.135000169E-2
3.910419080E-1,1.854874939E-1,-6.971249729E-2,-3.767500073E-2
3.935754390E-1,2.014375031E-1,-8.566249907E-2,-4.193750024E-2
3.961092060E-1,2.132624984E-1,-9.844999760E-2,-4.729999974E-2
3.986428230E-1,2.249500006E-1,-1.049124971E-1,-5.252499878E-2
4.011765900E-1,2.377374917E-1,-1.112374961E-1,-5.252499878E-2
4.037102080E-1,2.525874972E-1,-1.186624989E-1,-5.252499878E-2
4.062439750E-1,2.642749846E-1,-1.208624989E-1,-5.252499878E-2
4.087775920E-1,2.770625055E-1,-1.101374999E-1,-4.936249927E-2
4.113113600E-1,2.898499966E-1,-9.308750182E-2,-4.413750023E-2
4.138450010E-1,3.026374876E-1,-6.971249729E-2,-3.657500073E-2
4.163787680E-1,3.111625016E-1,-4.097500071E-2,-3.341250122E-2
4.189123090E-1,3.174875081E-1,-1.223750040E-2,-2.708750032E-2
4.214461530E-1,3.280749917E-1,1.746249944E-2,-1.966249943E-2
4.239796790E-1,3.356375098E-1,4.619999975E-2,-1.209999993E-2
4.265132950E-1,3.462249935E-1,7.067500055E-2,-2.612499986E-3
4.290470620E-1,3.536500037E-1,1.005124971E-1,2.749999985E-3
4.315806790E-1,3.525500000E-1,1.366750002E-1,1.333750039E-2
4.341144470E-1,3.451249897E-1,1.728374958E-1,2.516249940E-2
4.366480640E-1,3.302749991E-1,2.069374919E-1,3.464999795E-2
4.391818310E-1,3.068999946E-1,2.441999912E-1,3.575000167E-2
4.417154490E-1,2.781625092E-1,2.655124962E-1,3.148749843E-2
4.442492110E-1,2.472250015E-1,2.686749995E-1,2.832499892E-2
4.467828280E-1,2.259124964E-1,2.761000097E-1,2.186249942E-2
4.493165960E-1,2.079000026E-1,2.920500040E-1,1.017499994E-2
4.518502130E-1,1.993750036E-1,3.005749881E-1,-3.574999981E-3
4.543839750E-1,1.919499934E-1,3.027749956E-1,-1.429999992E-2
4.569175930E-1,1.812250018E-1,2.899875045E-1,-2.378750034E-2
4.594511310E-1,1.663749963E-1,2.675749958E-1,-3.987500072E-2
4.619848980E-1,1.472624987E-1,2.303124964E-1,-5.156249925E-2
4.645185060E-1,1.205874979E-1,1.835625023E-1,-6.957499683E-2
4.670522730E-1,8.978749812E-2,1.399749964E-1,-8.882500231E-2
4.695858900E-1,6.104999781E-2,9.418749809E-2,-1.111000031E-1
4.721196580E-1,4.179999977E-2,4.619999975E-2,-1.324124932E-1
4.746532650E-1,2.584999986E-2,5.774999969E-3,-1.494625062E-1
4.771870320E-1,2.694999985E-2,-3.038750030E-2,-1.611499935E-1
4.797206500E-1,3.437500075E-2,-6.435000151E-2,-1.674750000E-1
4.822544170E-1,4.716249928E-2,-9.418749809E-2,-1.707749963E-1
4.847880590E-1,6.104999781E-2,-1.197625026E-1,-1.739374995E-1
4.873218260E-1,7.383749634E-2,-1.399749964E-1,-1.707749963E-1
4.898554440E-1,9.295000136E-2,-1.538625062E-1,-1.739374995E-1
4.923889820E-1,1.131625026E-1,-1.687124968E-1,-1.771000028E-1
4.949227440E-1,1.291124970E-1,-1.803999990E-1,-1.845249981E-1
4.974563620E-1,1.450625062E-1,-1.911250055E-1,-1.824624985E-1
4.999902060E-1,1.578499973E-1,-1.985500008E-1,-1.813624948E-1
5.025237470E-1,1.737999916E-1,-1.878249943E-1,-1.845249981E-1
5.050574900E-1,1.845249981E-1,-1.815000027E-1,-1.867250055E-1
5.075911070E-1,1.887875050E-1,-2.080374956E-1,-1.909874976E-1
5.101248740E-1,1.845249981E-1,-2.484624982E-1,-2.026749998E-1
5.126584920E-1,1.962125003E-1,-2.080374956E-1,-2.143625021E-1
5.151922680E-1,2.249500006E-1,-1.314499974E-1,-2.143625021E-1
5.177258850E-1,2.323749959E-1,-8.470000327E-2,-2.089999914E-1
5.202596530E-1,2.164250016E-1,-6.118749827E-2,-2.047374994E-1
5.227931930E-1,1.951124966E-1,-4.743750021E-2,-1.941500008E-1
5.253270520E-1,1.737999916E-1,-4.207500070E-2,-1.782000065E-1
5.278605930E-1,1.600500047E-1,-3.891250119E-2,-1.600500047E-1
5.303944370E-1,1.493249983E-1,-3.464999795E-2,-1.472624987E-1
5.329279770E-1,1.450625062E-1,-3.671250120E-2,-1.366750002E-1
5.354616020E-1,1.450625062E-1,-3.355000168E-2,-1.281500012E-1
5.379953690E-1,1.439625025E-1,-3.987500072E-2,-1.292500049E-1
5.405289860E-1,1.482249945E-1,-5.486249924E-2,-1.377750039E-1
5.430627540E-1,1.439625025E-1,-6.544999778E-2,-1.600500047E-1
5.455963470E-1,1.407999992E-1,-9.955000132E-2,-2.292124927E-1
5.481301140E-1,1.355749965E-1,-2.208250016E-1,-3.037374914E-1
5.506637320E-1,1.387374997E-1,-3.229874969E-1,-3.463625014E-1
5.531974990E-1,1.472624987E-1,-3.016749918E-1,-3.654749990E-1
5.557311450E-1,1.621125042E-1,-2.475000024E-1,-3.793624938E-1
5.582649120E-1,1.706375033E-1,-2.410375029E-1,-4.005374908E-1
5.607985300E-1,1.748999953E-1,-2.358125001E-1,-4.250124991E-1
5.633322970E-1,1.834249943E-1,-2.091374993E-1,-4.452250004E-1
5.658658380E-1,1.962125003E-1,-2.197249979E-1,-4.633750021E-1
5.683994510E-1,2.259124964E-1,-2.506625056E-1,-4.750624895E-1
5.709332200E-1,2.494249940E-1,-2.825624943E-1,-4.729999900E-1
5.734670660E-1,2.408999950E-1,-3.389374912E-1,-4.654375017E-1
5.760005830E-1,2.270125002E-1,-3.591499925E-1,-4.537499845E-1
5.785341980E-1,2.292124927E-1,-3.379749954E-1,-4.303750098E-1
5.810679650E-1,2.344374955E-1,-3.315125108E-1,-4.175874889E-1
5.836015830E-1,2.366375029E-1,-3.283500075E-1,-4.079625010E-1
5.861353590E-1,2.344374955E-1,-3.209249973E-1,-4.038375020E-1
5.886689760E-1,2.312749922E-1,-3.240875006E-1,-4.047999978E-1
5.912027440E-1,2.270125002E-1,-3.283500075E-1,-4.047999978E-1
5.937363610E-1,2.164250016E-1,-3.379749954E-1,-4.059000015E-1
5.962701480E-1,2.036374956E-1,-3.485625088E-1,-4.016374946E-1
5.988036890E-1,1.865874976E-1,-3.570874929E-1,-3.984749913E-1
6.013375330E-1,1.652749926E-1,-3.559874892E-1,-3.920125067E-1
6.038711500E-1,1.472624987E-1,-3.517250121E-1,-3.803249896E-1
6.064046940E-1,1.365374923E-1,-3.496625125E-1,-3.740000129E-1
6.089384610E-1,1.259499937E-1,-3.496625125E-1,-3.718000054E-1
6.114720780E-1,1.163249984E-1,-3.506250083E-1,-3.686375022E-1
6.140058460E-1,1.057374999E-1,-3.548874855E-1,-3.686375022E-1
6.165394670E-1,9.404999763E-2,-3.581874967E-1,-3.686375022E-1
6.190732340E-1,8.552499861E-2,-3.581874967E-1,-3.643749952E-1
6.216068520E-1,8.016250283E-2,-3.591499925E-1,-3.580499887E-1
6.241406190E-1,7.809999585E-2,-3.591499925E-1,-3.548874855E-1
6.266742320E-1,7.053750008E-2,-3.570874929E-1,-3.506250083E-1
6.292077710E-1,6.531249732E-2,-3.548874855E-1,-3.463625014E-1
6.317416150E-1,5.678749830E-2,-3.559874892E-1,-3.430624902E-1
6.342753840E-1,4.826249927E-2,-3.581874967E-1,-3.409999907E-1
6.368090110E-1,4.509999976E-2,-3.624500036E-1,-3.420999944E-1
6.393427780E-1,3.863750026E-2,-3.656125069E-1,-3.388000131E-1
6.418763180E-1,2.914999984E-2,-3.676750064E-1,-3.324750066E-1
6.444099320E-1,2.158750035E-2,-3.719374835E-1,-3.261500001E-1
6.469436870E-1,1.842499897E-2,-3.750999868E-1,-3.165250123E-1
6.494773040E-1,1.526249945E-2,-3.741374910E-1,-3.048374951E-1
6.520110720E-1,9.899999946E-3,-3.750999868E-1,-2.909500003E-1
6.545446890E-1,8.937500417E-3,-3.761999905E-1,-2.750000060E-1
6.570784700E-1,5.637499969E-3,-3.761999905E-1,-2.568500042E-1
6.596120880E-1,4.124999978E-4,-3.741374910E-1,-2.356749922E-1
