"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.074303410E-1,-3.609000206E0,8.254050255E0,-3.414000273E0
3.099638820E-1,-3.612000227E0,8.248950005E0,-3.381000042E0
3.124975090E-1,-3.601950169E0,8.211000443E0,-3.349050045E0
3.150313550E-1,-3.553950071E0,8.239950180E0,-3.370950222E0
3.175651250E-1,-3.520950079E0,8.268000603E0,-3.393000126E0
3.200986650E-1,-3.501000166E0,8.307000160E0,-3.406950235E0
3.226322660E-1,-3.465000153E0,8.326050758E0,-3.385050058E0
3.251660340E-1,-3.516000271E0,8.338050842E0,-3.405000210E0
3.276996510E-1,-3.561000109E0,8.311050415E0,-3.286950111E0
3.302334180E-1,-3.601950169E0,8.331000328E0,-3.292050123E0
3.327670690E-1,-3.568050146E0,8.364000320E0,-3.238950253E0
3.353008360E-1,-3.595050097E0,8.355000496E0,-3.214950085E0
3.378344530E-1,-3.669000149E0,8.410050392E0,-3.298950195E0
3.403682210E-1,-3.700050116E0,8.389950752E0,-3.421050072E0
3.429018570E-1,-3.685950279E0,8.374050140E0,-3.426000118E0
3.454356240E-1,-3.694950104E0,8.311050415E0,-3.400050163E0
3.479692420E-1,-3.691050291E0,8.299050331E0,-3.337050200E0
3.505030090E-1,-3.640050173E0,8.320950508E0,-3.325050116E0
3.530365580E-1,-3.657000065E0,8.328000069E0,-3.334950209E0
3.555701720E-1,-3.691050291E0,8.344950676E0,-3.313050270E0
3.581039410E-1,-3.682950258E0,8.386050224E0,-3.258000135E0
3.606377870E-1,-3.721950293E0,8.376000404E0,-3.294000149E0
3.631713330E-1,-3.754950285E0,8.400000572E0,-3.268050194E0
3.657049480E-1,-3.781950235E0,8.376000404E0,-3.244050264E0
3.682387150E-1,-3.754950285E0,8.355000496E0,-3.282000065E0
3.707723330E-1,-3.706950188E0,8.368950844E0,-3.250950098E0
3.733061050E-1,-3.613950253E0,8.389950752E0,-3.208050251E0
3.758397220E-1,-3.504000187E0,8.386050224E0,-3.253950119E0
3.783734890E-1,-3.384000063E0,8.383049965E0,-3.226950169E0
3.809071070E-1,-3.307050228E0,8.335050583E0,-3.177000046E0
3.834409080E-1,-3.288000107E0,8.368950844E0,-3.124050140E0
3.859744490E-1,-3.267000198E0,8.392950058E0,-3.115050077E0
