"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.942071650E-1,5.335000157E-2,-1.421750039E-1,4.949999973E-3
3.967407030E-1,5.871250108E-2,-1.486375034E-1,6.049999967E-3
3.992743110E-1,5.981250107E-2,-1.560624987E-1,6.049999967E-3
4.018080810E-1,6.187500060E-2,-1.655499935E-1,8.249999955E-3
4.043416210E-1,6.187500060E-2,-1.731124967E-1,1.031249948E-2
4.068752340E-1,6.077500060E-2,-1.816374958E-1,1.251249947E-2
4.094090190E-1,6.187500060E-2,-1.857624948E-1,1.251249947E-2
4.119425590E-1,5.871250108E-2,-1.953874975E-1,1.457499992E-2
4.144761730E-1,5.761250108E-2,-2.050125003E-1,1.567500085E-2
4.170097130E-1,5.871250108E-2,-2.081750035E-1,1.347499993E-2
4.195434890E-1,5.981250107E-2,-2.081750035E-1,1.251249947E-2
4.220771070E-1,6.407500058E-2,-2.135374993E-1,1.251249947E-2
4.246108740E-1,6.613750011E-2,-2.167000026E-1,1.031249948E-2
4.271444140E-1,6.929999590E-2,-2.209624946E-1,9.212499484E-3
4.296780480E-1,7.150000334E-2,-2.337500006E-1,7.149999961E-3
4.322115880E-1,7.782500237E-2,-2.400749922E-1,-1.374999993E-3
4.347453550E-1,8.524999768E-2,-2.454375029E-1,-4.537499975E-3
4.372789730E-1,8.951249719E-2,-2.496999949E-1,-8.799999952E-3
4.398125200E-1,9.061250091E-2,-2.528625131E-1,-1.622499898E-2
4.423462880E-1,9.597499669E-2,-2.602874935E-1,-2.158750035E-2
4.448798280E-1,1.002374962E-1,-2.699125111E-1,-3.011249937E-2
4.474134410E-1,1.013374999E-1,-2.784374952E-1,-4.606249928E-2
4.499472110E-1,1.023000032E-1,-2.858625054E-1,-5.775000155E-2
4.524808280E-1,9.597499669E-2,-2.879250050E-1,-6.737499684E-2
4.550143670E-1,9.281250089E-2,-2.901250124E-1,-8.332499862E-2
4.575481340E-1,9.061250091E-2,-2.901250124E-1,-1.003749967E-1
4.600816690E-1,8.744999766E-2,-2.677125037E-1,-1.205874979E-1
4.626152830E-1,8.524999768E-2,-2.294874936E-1,-1.333750039E-1
4.651490520E-1,7.892499864E-2,-1.816374958E-1,-1.428624988E-1
4.676825920E-1,7.039999962E-2,-1.518000066E-1,-1.450625062E-1
4.702162060E-1,6.407500058E-2,-1.358499974E-1,-1.513874978E-1
4.727497460E-1,5.651250109E-2,-1.262249947E-1,-1.556500047E-1
4.752835130E-1,5.335000157E-2,-1.187999994E-1,-1.535875052E-1
4.778171310E-1,5.238749832E-2,-1.156374961E-1,-1.461624950E-1
4.803509170E-1,5.444999784E-2,-1.156374961E-1,-1.419000030E-1
4.828844570E-1,5.871250108E-2,-1.187999994E-1,-1.407999992E-1
4.854180710E-1,5.981250107E-2,-1.199000031E-1,-1.365374923E-1
4.879516110E-1,5.981250107E-2,-1.156374961E-1,-1.354375035E-1
4.904853890E-1,5.981250107E-2,-1.113749966E-1,-1.365374923E-1
