"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.941258660E-1,-9.214050293E0,1.720050097E0,2.211000204E0
4.966594070E-1,-9.024000168E0,1.588950038E0,2.460000038E0
4.991930200E-1,-8.907000542E0,1.540950060E0,2.481000185E0
5.017267890E-1,-8.838000298E0,1.480950117E0,2.259000063E0
5.042603920E-1,-8.773050308E0,1.360950112E0,2.308950186E0
5.067941590E-1,-8.682000160E0,1.279950023E0,2.248950005E0
5.093276990E-1,-8.512050629E0,1.189050078E0,2.101050138E0
5.118613130E-1,-8.221950531E0,1.033050060E0,2.119950056E0
5.143950820E-1,-7.935000420E0,9.060000181E-1,1.998000145E0
5.169286220E-1,-7.723950386E0,8.800500631E-1,1.621950030E0
5.194622360E-1,-7.563000202E0,8.250000477E-1,1.167000055E0
5.219960050E-1,-7.534950256E0,7.669500113E-1,6.010500193E-1
5.245296220E-1,-7.633050442E0,7.429500222E-1,1.390500069E-1
5.270631610E-1,-7.911000252E0,6.880500317E-1,-1.740000099E-1
5.295969280E-1,-8.332050323E0,6.570000052E-1,-4.900500178E-1
5.321305460E-1,-8.860950470E0,6.670500040E-1,-4.609500170E-1
5.346643080E-1,-9.276000023E0,7.189500332E-1,-3.559500277E-1
5.371978480E-1,-9.712050438E0,7.770000100E-1,-1.260000020E-1
5.397314620E-1,-9.967950821E0,8.149500489E-1,3.190500140E-1
5.422652310E-1,-1.024305058E1,8.080500364E-1,7.429500222E-1
5.447987620E-1,-1.053105068E1,8.680500388E-1,1.120950103E0
5.473323760E-1,-1.072500038E1,9.490500689E-1,1.552050114E0
5.498661450E-1,-1.079205036E1,1.063950062E0,1.909050107E0
5.523996850E-1,-1.085895061E1,1.143000007E0,2.125050068E0
5.549335300E-1,-1.082100010E1,1.207950115E0,2.311050177E0
5.574670700E-1,-1.067400074E1,1.243950009E0,2.359050035E0
5.600006850E-1,-1.050405025E1,1.323000073E0,2.428950071E0
5.625344530E-1,-1.032495022E1,1.347000122E0,2.460000038E0
5.650679970E-1,-1.013805008E1,1.368000031E0,2.434050083E0
5.676016110E-1,-9.946050644E0,1.383000016E0,2.344950199E0
5.701353800E-1,-9.760050774E0,1.380000114E0,2.344950199E0
5.726689970E-1,-9.613050461E0,1.311000109E0,2.272950172E0
5.752025160E-1,-9.502950668E0,1.239000082E0,2.295000076E0
5.777362830E-1,-9.373950005E0,1.215000033E0,2.254050016E0
5.802699000E-1,-9.319050789E0,1.138050079E0,2.042999983E0
5.828036680E-1,-9.313950539E0,1.119000077E0,1.971000075E0
5.853373140E-1,-9.312000275E0,1.090050101E0,1.951950073E0
5.878708520E-1,-9.357000351E0,1.093050003E0,1.846950054E0
5.904046200E-1,-9.440999985E0,1.023000002E0,1.801050067E0
5.929382370E-1,-9.490950584E0,1.051950097E0,1.738950133E0
5.954717700E-1,-9.568050385E0,1.074000001E0,1.696050048E0
5.980055380E-1,-9.678000450E0,1.122000098E0,1.686000109E0
6.005391550E-1,-9.730950356E0,1.110000014E0,1.686000109E0
6.030726940E-1,-9.811950684E0,1.150050044E0,1.732050061E0
6.056064520E-1,-9.891000748E0,1.183950067E0,1.782000065E0
6.081400690E-1,-9.982050896E0,1.183950067E0,1.761000037E0
6.106736080E-1,-1.008105087E1,1.210050106E0,1.782000065E0
6.132074520E-1,-1.017600060E1,1.219950080E0,1.650000095E0
6.157410010E-1,-1.025805092E1,1.189050078E0,1.437000036E0
6.182747690E-1,-1.018800068E1,1.143000007E0,1.345950007E0
6.208083860E-1,-1.003005028E1,1.003950000E0,1.444050074E0
6.233419240E-1,-9.742950439E0,9.040500522E-1,1.612050056E0
6.258757020E-1,-9.616050720E0,9.160500169E-1,1.816050053E0
6.284093190E-1,-9.505950928E0,9.010500312E-1,1.999950051E0
6.309430860E-1,-9.469950676E0,9.490500689E-1,2.188950062E0
6.334766270E-1,-9.415050507E0,9.990000725E-1,2.179949999E0
6.360102450E-1,-9.369000435E0,1.023000002E0,2.080950022E0
6.385440140E-1,-9.477000237E0,9.870000482E-1,1.957050085E0
6.410776320E-1,-9.475050926E0,1.083000064E0,1.774950027E0
6.436113990E-1,-9.505950928E0,1.131000042E0,1.729050040E0
6.461449480E-1,-9.477000237E0,1.186050057E0,1.693050027E0
6.486785620E-1,-9.427050591E0,1.171950102E0,1.509000063E0
6.512123310E-1,-9.396000862E0,1.155000091E0,1.252950072E0
6.537458720E-1,-9.645000458E0,1.047000051E0,1.348950028E0
6.562794850E-1,-1.022400093E1,-4.440000355E-1,3.130950212E0
6.588132540E-1,-1.003695011E1,-2.547000170E0,4.363950253E0
6.613467950E-1,-1.059105015E1,-6.379500031E-1,2.569950104E0
6.638806390E-1,-1.134495068E1,1.965000153E0,9.105000645E-2
