"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
5.904046200E-1,2.023999989E-1,-3.986124992E-1,-1.854874939E-1
5.929382370E-1,1.938749999E-1,-4.219875038E-1,-1.802625060E-1
5.954717700E-1,1.810874939E-1,-4.464625120E-1,-1.759999990E-1
5.980055380E-1,1.725624949E-1,-4.666749835E-1,-1.717374921E-1
6.005391550E-1,1.641750038E-1,-4.785000086E-1,-1.641750038E-1
6.030726940E-1,1.588124931E-1,-4.879874885E-1,-1.557874978E-1
6.056064520E-1,1.545500010E-1,-4.911499918E-1,-1.439625025E-1
6.081400690E-1,1.491875052E-1,-5.007749796E-1,-1.333750039E-1
6.106736080E-1,1.385999918E-1,-5.081999898E-1,-1.237500012E-1
6.132074520E-1,1.332374960E-1,-5.167250037E-1,-1.109625027E-1
6.157410010E-1,1.289750040E-1,-5.274500251E-1,-9.721250087E-2
6.182747690E-1,1.119249985E-1,-5.433999896E-1,-7.809999585E-2
6.208083860E-1,9.707500041E-2,-5.571500063E-1,-6.311249733E-2
6.233419240E-1,8.648750186E-2,-5.561875105E-1,-5.032499880E-2
6.258757020E-1,8.112499863E-2,-5.476624966E-1,-4.716249928E-2
6.284093190E-1,8.428750187E-2,-5.433999896E-1,-4.936249927E-2
6.309430860E-1,8.744999766E-2,-5.411999822E-1,-5.995000154E-2
6.334766270E-1,9.391249716E-2,-5.369374752E-1,-6.847500056E-2
6.360102450E-1,1.055999994E-1,-5.252500176E-1,-8.016250283E-2
6.385440140E-1,1.119249985E-1,-5.135625005E-1,-9.831249714E-2
6.410776320E-1,1.141249985E-1,-5.092999935E-1,-1.088999957E-1
6.436113990E-1,1.109625027E-1,-5.029749870E-1,-1.259499937E-1
6.461449480E-1,1.044999957E-1,-4.954124987E-1,-1.396999955E-1
6.486785620E-1,9.817499667E-2,-4.911499918E-1,-1.515250057E-1
6.512123310E-1,8.744999766E-2,-4.976125062E-1,-1.652749926E-1
6.537458720E-1,6.723749638E-2,-5.092999935E-1,-1.780624986E-1
6.562794850E-1,6.297499686E-2,-5.209875107E-1,-1.791625023E-1
6.588132540E-1,1.109625027E-1,-5.528874993E-1,-1.717374921E-1
6.613467950E-1,1.630750000E-1,-5.773624778E-1,-1.695374995E-1
6.638806390E-1,1.480875015E-1,-5.678749681E-1,-1.461624950E-1
6.664141980E-1,8.002500236E-2,-5.284125209E-1,-9.184999764E-2
6.689478140E-1,-3.024999984E-3,-4.890874922E-1,-4.826249927E-2
6.714815810E-1,-7.644999772E-2,-4.763000011E-1,-1.732499897E-2
6.740151210E-1,-1.348875016E-1,-4.731374979E-1,2.887499984E-3
6.765487310E-1,-1.710499972E-1,-4.401375055E-1,1.979999989E-2
6.790825000E-1,-1.743499935E-1,-3.911874890E-1,3.684999794E-2
6.816160400E-1,-1.476749927E-1,-3.240875006E-1,4.647500068E-2
6.841496540E-1,-1.115124971E-1,-2.602874935E-1,5.279999971E-2
6.866834370E-1,-7.535000145E-2,-2.007499933E-1,5.279999971E-2
6.892170540E-1,-5.293750018E-2,-1.410750002E-1,5.183750018E-2
6.917505930E-1,-4.977500066E-2,-7.823749632E-2,5.706249923E-2
6.942843980E-1,-6.256250292E-2,-2.502499893E-2,6.668750197E-2
6.968180500E-1,-8.071249723E-2,1.429999992E-2,8.153750002E-2
6.993517130E-1,-1.040875018E-1,4.729999974E-2,9.858749807E-2
7.018958600E-1,-1.306249946E-1,9.308750182E-2,1.241625026E-1
7.044189390E-1,-1.593624949E-1,1.398375034E-1,1.507000029E-1
7.069527060E-1,-1.880999953E-1,1.813624948E-1,1.677500010E-1
7.094863210E-1,-2.125750035E-1,2.399374992E-1,1.805374920E-1
7.120198650E-1,-2.360875010E-1,3.048374951E-1,1.890625060E-1
7.145536340E-1,-2.572624981E-1,3.612124920E-1,1.955250055E-1
7.170872490E-1,-2.657875121E-1,4.059000015E-1,1.964875013E-1
7.196207900E-1,-2.700499892E-1,4.474250078E-1,1.964875013E-1
7.221545430E-1,-2.594625056E-1,4.878500104E-1,1.933249980E-1
7.246881600E-1,-2.381500006E-1,5.134249926E-1,1.901624948E-1
7.272219280E-1,-2.147749960E-1,5.325375199E-1,1.816374958E-1
7.297555450E-1,-1.903000027E-1,5.506874919E-1,1.645874977E-1
7.322890600E-1,-1.710499972E-1,5.634750128E-1,1.443749964E-1
7.348228270E-1,-1.561999917E-1,5.601750016E-1,1.304875016E-1
7.373564440E-1,-1.476749927E-1,5.484874845E-1,1.124750003E-1
7.398899830E-1,-1.498750001E-1,5.336375237E-1,9.652499855E-2
7.424237600E-1,-1.593624949E-1,5.208500028E-1,8.057499677E-2
7.449573770E-1,-1.806750000E-1,5.017374754E-1,6.242499873E-2
7.474911450E-1,-2.030874938E-1,4.815250039E-1,4.757500067E-2
7.500246850E-1,-2.211000025E-1,4.676375091E-1,2.942499891E-2
7.525582840E-1,-2.381500006E-1,4.463250041E-1,1.031249948E-2
7.550920540E-1,-2.529999912E-1,4.283125103E-1,-1.732499897E-2
7.576256710E-1,-2.594625056E-1,4.207499921E-1,-4.716249928E-2
7.601594380E-1,-2.626250088E-1,4.144249856E-1,-7.809999585E-2
7.626929930E-1,-2.657875121E-1,4.038375020E-1,-1.142624989E-1
7.652266060E-1,-2.668874860E-1,3.878875077E-1,-1.461624950E-1
7.677603750E-1,-2.657875121E-1,3.708375096E-1,-1.727000028E-1
7.702939160E-1,-2.679874897E-1,3.537875116E-1,-1.919499934E-1
7.728275340E-1,-2.700499892E-1,3.271124959E-1,-2.025374919E-1
7.753613030E-1,-2.711499929E-1,2.963125110E-1,-2.099625021E-1
7.778949210E-1,-2.828375101E-1,2.611125112E-1,-2.195875049E-1
7.804284590E-1,-2.934249938E-1,2.345750034E-1,-2.206874937E-1
7.829622350E-1,-3.147374988E-1,2.164250016E-1,-2.153249979E-1
7.854958520E-1,-3.434749842E-1,2.037750036E-1,-1.951124966E-1
7.880296190E-1,-3.733125031E-1,1.856250018E-1,-1.641750038E-1
7.905631600E-1,-3.966875076E-1,1.654125005E-1,-1.248499975E-1
7.930967600E-1,-4.137375057E-1,1.696749926E-1,-6.311249733E-2
7.956305290E-1,-4.361499846E-1,1.771000028E-1,1.567500085E-2
7.981641470E-1,-4.573250115E-1,1.887875050E-1,8.910000324E-2
8.006976850E-1,-4.732750058E-1,2.197249979E-1,1.486375034E-1
8.032314650E-1,-4.860624969E-1,2.792625129E-1,2.124374956E-1
8.057650830E-1,-5.020124912E-1,3.420999944E-1,2.891624868E-1
8.082988500E-1,-5.329499841E-1,3.878875077E-1,3.592875004E-1
8.108323900E-1,-5.670499802E-1,4.452250004E-1,4.210250080E-1
8.133660240E-1,-6.052749753E-1,5.048999786E-1,4.796000123E-1
8.158997930E-1,-6.393749714E-1,5.581125021E-1,5.317124724E-1
8.184334100E-1,-6.638500094E-1,6.155874729E-1,5.743374825E-1
8.209669490E-1,-6.701750159E-1,6.815875173E-1,6.136624813E-1
8.235007110E-1,-6.553249955E-1,7.262749672E-1,6.765000224E-1
8.260343290E-1,-6.478999853E-1,7.475875020E-1,7.371374965E-1
8.285678670E-1,-6.351125240E-1,7.741249800E-1,7.807250023E-1
8.311017110E-1,-6.180624962E-1,8.188124895E-1,8.222500086E-1
8.336352610E-1,-6.010124683E-1,8.634999990E-1,8.648750186E-1
8.361690280E-1,-5.915250182E-1,9.070875049E-1,8.988375068E-1
8.387025680E-1,-5.935875177E-1,9.486125112E-1,9.255124927E-1
8.412361820E-1,-5.893250108E-1,9.858750105E-1,9.510874748E-1
8.437699800E-1,-5.659499764E-1,1.024237514E0,9.744625092E-1
8.463035970E-1,-5.372124910E-1,1.052974939E0,9.978374839E-1
8.488371360E-1,-5.053125024E-1,1.058337450E0,1.020249963E0
8.513709800E-1,-4.680500031E-1,1.050775051E0,1.046787500E0
8.539045350E-1,-4.318875074E-1,1.018875003E0,1.067000031E0
8.564383030E-1,-3.935250044E-1,9.838125110E-1,1.079787493E0
8.589718430E-1,-3.551625013E-1,9.497125149E-1,1.079787493E0
8.615054570E-1,-3.169375062E-1,9.124500155E-1,1.064937472E0
8.640391970E-1,-2.860000134E-1,8.666625023E-1,1.040462494E0
8.665728140E-1,-2.637250125E-1,8.284375072E-1,1.001000047E0
8.691065810E-1,-2.402125001E-1,7.922750115E-1,9.510874748E-1
